n,o,i,l,t,asp,asp_otp,mzn,mzn_opt
10,2,1,1,1,20,y,20,y
10,1,2,2,2,27,y,27,y
10,1,1,1,1,16,y,16,y
10,2,2,2,1,25,y,25,y
10,2,1,1,2,25,y,25,y
10,2,1,2,2,28,y,28,y
10,1,2,1,2,24,y,24,y
10,1,1,2,1,20,y,20,y
10,2,2,1,2,28,y,28,y
10,1,2,1,1,20,y,20,y
12,2,2,2,2,30,y,30,y
12,2,1,2,2,28,y,28,y
12,2,1,2,1,24,y,24,y
12,1,2,1,1,20,y,20,y
12,1,1,1,2,20,y,20,y
12,1,1,2,2,24,y,24,y
12,1,2,2,1,24,y,24,y
12,2,2,2,1,25,y,25,y
12,2,2,1,2,28,y,28,y
12,2,2,1,1,24,y,24,y
14,2,1,1,2,25,y,25,y
14,1,2,1,2,24,y,24,y
14,2,2,2,2,30,n,30,y
14,1,2,2,2,27,y,27,y
14,1,2,1,1,20,y,20,y
14,1,1,1,1,16,y,16,y
14,2,2,1,1,24,y,24,y
14,2,1,2,1,24,y,24,y
14,1,1,1,2,20,y,20,y
14,2,1,2,2,28,y,28,y
16,1,3,3,3,39,n,39,y
16,3,1,2,1,27,y,27,y
16,1,2,1,1,20,y,20,y
16,1,1,1,1,16,y,16,y
16,1,2,1,3,30,y,30,y
16,3,3,2,1,32,y,32,y
16,1,2,1,2,24,y,24,y
16,1,3,2,2,30,y,30,y
16,2,2,2,2,30,y,30,y
16,1,3,3,2,32,y,32,y
18,3,3,1,2,35,y,35,y
18,2,2,2,3,35,n,35,y
18,1,3,3,2,32,n,32,y
18,1,2,2,1,24,y,24,y
18,2,1,1,1,20,y,20,y
18,1,2,1,1,20,y,20,y
18,1,3,1,2,27,y,27,y
18,1,2,2,2,27,y,27,y
18,3,1,2,3,36,y,36,y
18,1,3,2,2,30,y,30,y
20,2,1,4,2,35,n,35,y
20,4,2,1,3,40,n,40,y
20,1,4,1,2,30,y,30,y
20,1,3,3,2,32,y,32,y
20,1,2,3,2,30,y,30,y
20,4,1,1,4,44,n,44,y
20,4,1,2,3,40,n,40,y
20,4,1,1,2,33,y,33,y
20,2,1,3,1,27,y,27,y
20,3,2,4,1,35,n,=U=,y
22,3,3,3,1,35,n,35,y
22,2,4,2,2,36,n,36,y
22,3,1,2,4,42,n,=U=,y
22,1,1,3,1,24,y,24,y
22,2,1,1,4,36,y,36,y
22,2,1,4,3,40,n,=U=,y
22,2,4,2,1,32,n,32,y
22,4,2,3,1,36,n,36,y
22,4,4,1,1,36,n,36,y
22,1,1,2,4,35,y,35,y
24,4,1,2,1,30,y,30,y
24,3,3,1,1,30,y,30,y
24,2,1,3,3,35,y,35,y
24,1,2,4,1,28,y,28,y
24,3,1,2,4,42,n,42,n
24,1,4,4,1,33,n,=U=,y
24,2,2,4,1,32,n,=U=,y
24,3,1,1,1,24,y,24,y
24,1,1,3,4,36,n,36,y
24,2,1,3,2,30,y,30,y
26,1,2,1,5,40,n,40,y
26,1,3,2,3,35,n,35,y
26,4,2,1,3,40,n,40,y
26,2,3,1,2,30,y,30,y
26,3,1,5,1,35,n,=U=,y
26,5,2,2,1,39,n,39,y
26,5,1,2,2,40,n,40,y
26,3,2,4,1,35,n,=U=,y
26,1,2,4,1,28,y,28,y
26,2,1,1,4,36,y,36,y
28,1,3,1,2,27,y,27,y
28,1,1,1,5,40,y,40,y
28,1,4,2,1,27,y,27,y
28,1,2,5,1,30,n,30,n
28,2,1,1,3,30,y,30,y
28,3,2,1,2,32,y,32,y
28,1,1,5,2,32,n,=U=,y
28,3,1,3,2,35,n,35,y
28,4,1,2,2,35,y,35,y
28,2,1,2,2,28,y,28,y
