n,o,i,l,t,asp,asp_otp,mzn,mzn_opt
10,1,2,2,2,27,y,27,y
10,1,2,1,1,20,y,20,y
10,2,2,1,2,28,y,28,y
10,1,1,1,1,16,y,16,y
10,2,1,1,2,25,y,25,y
10,2,2,2,2,30,y,30,y
10,2,1,2,1,24,y,24,y
10,2,1,2,2,28,y,28,y
10,2,2,1,1,24,y,24,y
10,1,1,1,2,20,y,20,y
12,1,2,2,2,27,n,27,y
12,2,2,1,2,28,y,28,y
12,2,2,2,2,30,y,30,y
12,2,1,2,2,28,y,28,y
12,1,1,1,2,20,y,20,y
12,2,2,2,1,25,y,25,y
12,1,1,2,1,20,y,20,y
12,1,2,2,1,24,y,24,y
12,2,1,2,1,24,y,24,y
12,2,2,1,1,24,y,24,y
14,1,2,1,2,24,y,24,y
14,1,2,2,2,27,y,27,y
14,2,1,2,2,28,y,28,y
14,2,1,2,1,24,y,24,y
14,2,1,1,1,20,y,20,y
14,1,1,1,2,20,y,20,y
14,1,1,1,1,16,y,16,y
14,2,1,1,2,25,y,25,y
14,2,2,1,2,28,y,28,y
14,1,1,2,1,20,y,20,y
16,2,2,3,2,35,n,35,y
16,1,2,1,2,24,y,24,y
16,1,2,3,2,30,y,30,y
16,2,3,3,1,32,n,32,y
16,3,1,1,3,35,y,35,y
16,3,2,1,1,27,y,27,y
16,3,2,1,3,36,y,36,y
16,3,1,2,1,27,y,27,y
16,2,3,2,2,33,n,33,y
16,1,1,2,3,30,y,30,y
18,1,1,1,3,28,y,28,y
18,2,2,2,3,35,n,35,y
18,3,2,2,3,40,y,40,y
18,1,3,3,3,39,n,=U=,
18,2,3,3,3,42,n,=U=,
18,1,2,1,3,30,y,30,y
18,1,3,1,2,27,y,27,y
18,2,1,1,3,30,y,30,y
18,2,3,1,3,35,y,35,y
18,2,3,1,1,25,y,25,y
20,4,1,4,1,36,n,=U=,
20,2,4,1,1,28,y,28,y
20,3,1,4,1,32,y,32,y
20,1,1,3,2,28,y,28,y
20,1,2,3,2,30,y,30,y
20,3,3,4,3,48,n,=U=,
20,1,3,3,4,42,n,=U=,
20,3,4,1,4,48,n,=U=,
20,1,1,1,2,20,y,20,y
20,2,3,3,3,42,n,=U=,
22,4,2,4,4,54,n,=U=,
22,4,3,1,4,48,n,=U=,
22,1,1,1,2,20,y,20,y
22,4,3,4,4,60,n,=U=,
22,3,1,1,3,35,y,35,y
22,1,4,4,2,39,n,=U=,
22,2,3,2,2,33,n,33,y
22,1,2,2,1,24,y,24,y
22,2,3,1,2,30,y,30,y
22,4,2,1,4,45,n,=U=,
24,4,4,4,4,60,n,=U=,
24,2,4,4,3,48,n,=U=,
24,4,4,3,2,48,n,=U=,
24,3,1,4,1,32,y,32,y
24,3,3,4,2,44,n,=U=,
24,4,1,4,2,42,n,=U=,
24,4,1,3,4,48,n,=U=,
24,4,3,3,2,44,n,=U=,
24,4,4,2,1,39,n,=U=,
24,4,3,4,4,60,n,=U=,
26,5,1,1,4,48,n,=U=,
26,3,4,1,1,32,n,32,y
26,1,5,4,2,42,n,=U=,
26,5,3,5,2,54,n,=U=,
26,2,3,4,2,39,n,=U=,
26,1,2,3,2,30,y,30,y
26,1,5,1,5,48,n,=U=,
26,3,1,3,2,35,n,35,y
26,4,3,3,3,49,n,=U=,
26,5,2,4,1,44,n,=U=,
28,2,3,5,2,42,n,=U=,
28,1,1,1,2,20,y,20,y
28,3,1,2,3,36,y,36,y
28,1,3,1,4,36,y,36,y
28,1,2,3,3,35,n,35,y
28,2,4,5,5,60,n,=U=,
28,4,2,4,4,54,n,=U=,
28,5,5,3,2,54,n,=U=,
28,3,3,5,4,56,n,=U=,
28,2,4,3,5,54,n,=U=,
